sample,condition,origin,com1367vothers
NK_58,Th17_1,M125,Th17_1_3_6_7
NK_59,Th17_2,M125,Th17_2_4_5_8_9
NK_60,Th17_3,M125,Th17_1_3_6_7
NK_61,Th17_4,M125,Th17_2_4_5_8_9
NK_62,Th17_5,M125,Th17_2_4_5_8_9
NK_63,Th17_6,M125,Th17_1_3_6_7
NK_64,Th17_7,M125,Th17_1_3_6_7
NK_65,Th17_8,M125,Th17_2_4_5_8_9
NK_66,Th17_9,M125,Th17_2_4_5_8_9
NK_70,Th17_1,M126,Th17_1_3_6_7
NK_71,Th17_2,M126,Th17_2_4_5_8_9
NK_72,Th17_3,M126,Th17_1_3_6_7
NK_73,Th17_4,M126,Th17_2_4_5_8_9
NK_74,Th17_5,M126,Th17_2_4_5_8_9
NK_75,Th17_6,M126,Th17_1_3_6_7
NK_76,Th17_7,M126,Th17_1_3_6_7
NK_77,Th17_8,M126,Th17_2_4_5_8_9
NK_78,Th17_9,M126,Th17_2_4_5_8_9
NK_82,Th17_1,M127,Th17_1_3_6_7
NK_83,Th17_2,M127,Th17_2_4_5_8_9
NK_84,Th17_3,M127,Th17_1_3_6_7
NK_85,Th17_4,M127,Th17_2_4_5_8_9
NK_86,Th17_5,M127,Th17_2_4_5_8_9
NK_87,Th17_6,M127,Th17_1_3_6_7
NK_88,Th17_7,M127,Th17_1_3_6_7
NK_89,Th17_8,M127,Th17_2_4_5_8_9
NK_90,Th17_9,M127,Th17_2_4_5_8_9
