genes,NK_58,NK_59,NK_60,NK_61,NK_62,NK_63,NK_64,NK_65,NK_66,NK_70,NK_71,NK_72,NK_73,NK_74,NK_75,NK_76,NK_77,NK_78,NK_82,NK_83,NK_84,NK_85,NK_86,NK_87,NK_88,NK_89,NK_90
Mar1,3.125051575,2.194184742,2.187266483,1.808218476,1.817735264,2.888507018,2.821495405,1.823834473,1.795670071,2.555141168,2.192972925,2.825967747,2.078200718,2.067095438,2.762757623,2.236832147,1.782646816,1.71067192,2.006547071,1.657261656,2.067072514,2.097651484,2.072136439,2.472451121,2.207332553,2.220420626,1.942010902
Mar1,27.90622359,23.1823353,25.38244253,25.90405412,22.44428138,29.67758926,30.27831467,26.90848012,18.2525484,22.20719082,19.11067724,20.09510207,20.63889749,18.49289261,21.58471292,21.32683539,25.00445058,18.14736275,30.71096627,21.21865051,22.98011321,26.33736301,29.05649943,26.86695657,23.15960913,23.38771482,19.34646399
Mar2,43.03361105,47.60783112,62.00974278,39.32822038,34.41300569,66.50841571,66.34859453,60.10845362,67.52510158,66.69126919,85.65811355,91.52221099,44.29463304,36.11834794,39.81436105,60.52754788,71.43484159,55.19780528,92.99040773,79.49862485,127.1501188,65.06325074,47.81694318,144.6661922,99.20968084,53.82796577,57.81760726
Mar3,45.02336559,39.75049718,54.86487831,24.67332085,23.94153918,48.09803333,56.15661225,26.4484267,27.47510329,29.19970725,9.164454442,23.23759729,17.00765108,19.58346302,20.19751644,43.6658343,27.54758608,23.73162523,45.79477192,21.60659755,31.04101871,19.93280722,13.18713265,39.83183392,31.2133868,24.00962557,29.4266621
Mar5,492.2345111,649.1040736,452.2754886,414.4869875,446.0077596,446.4150948,440.8212619,481.0079738,577.2018045,533.4576748,705.6808255,707.676401,451.459262,536.4775539,581.3305836,765.0933641,531.9740272,754.1935489,446.1586498,553.8167968,489.4304325,353.7643843,353.0999973,472.8081192,464.573483,368.3345707,520.148949
Mar6,819.6368286,825.066732,713.906338,653.6506641,814.8693744,801.0924855,703.5972335,729.4933417,790.7857151,768.3053556,909.0393902,809.9488548,832.2083768,895.5722403,847.6295068,782.9910464,925.637819,861.2713315,656.1214152,762.4833372,711.9302043,728.3600583,701.9526952,895.0459876,795.2116045,764.7063268,876.8571377
Mar7,2153.399084,1725.752669,1752.100725,1950.421204,1976.15446,2196.940375,2090.873406,1887.08017,1786.029259,1887.681957,1592.601935,2001.436322,1684.763067,1704.721086,1923.115905,1996.254577,1746.898415,1785.224753,1902.248488,1918.243299,2036.082071,1475.154145,1726.997166,1880.981573,1752.586578,1715.210586,1829.127593
Mar8,275.8597191,438.7343944,309.8403015,328.4142688,365.2296296,307.2595411,268.3540777,328.5834485,397.8070407,203.2186502,304.3475622,214.2358338,393.3116201,379.0903705,212.6737258,227.2240923,429.2034909,389.4588252,243.397409,300.3117265,283.08608,325.6027332,348.4961723,322.5238413,378.8599953,380.2614818,407.2147475
Mar9,664.3450784,827.9873981,664.0246554,653.2470979,695.8116384,726.0393845,697.4442065,680.092419,937.9115076,839.4060202,1061.442128,816.9568104,1005.846193,964.9958983,1022.13568,973.800209,946.2489605,1238.484416,859.5978118,853.1407708,821.8578078,807.1835706,701.0968779,879.9221021,956.9163466,866.6682242,983.2435452
Sep1,1144.387556,1141.899526,1253.155735,1394.149925,1398.388975,1264.288503,1233.412793,1325.232707,1397.700949,1323.415164,1388.315743,1150.918532,1536.636274,1675.330482,1469.693906,1173.03472,1410.811964,1565.610911,1504.866716,1323.965671,1474.929212,1820.463374,1759.512441,1469.154087,1663.573623,1745.796882,1381.500147
Sep2,1897.205184,1779.788384,1889.593249,1797.654433,1765.914771,1892.949227,1937.230625,1864.935475,1714.354797,1793.783426,1544.89171,1999.897022,1612.317328,1528.446141,1796.321666,1928.254818,1549.739485,1611.378839,2059.687857,1676.864035,2041.126667,1732.200242,1783.381944,1971.817069,1956.107579,1897.021087,1640.466025
Sep3,159.1141136,269.3605945,164.9554918,160.5671549,166.4453781,165.344701,144.9005238,161.569828,241.6967058,260.4953844,311.1003052,219.036274,318.9952209,343.4773129,226.0770915,302.2174178,357.1380404,360.6918463,175.86627,312.0637564,195.9470442,134.9863765,172.2264603,178.8958363,234.9879552,178.6819383,347.3899001
Sep5,95.18801289,9.748194253,52.81892375,12.79190301,5.523531665,129.9374961,48.13435322,3.369603874,17.85979976,77.19925393,28.31938441,21.44481552,17.00112134,29.7579657,67.01657259,39.55362458,8.009726604,21.78172036,23.67157837,2.126399986,52.59223854,9.349803209,12.89527826,21.21317997,33.24535781,8.863435494,3.714662142
Sep6,3154.225306,3509.11132,3485.403575,3701.078448,4535.890193,3096.494139,3043.867829,4303.187536,3537.881473,3098.211676,3318.947285,3121.924646,4002.733917,4046.418997,3147.149505,3226.132551,3835.58256,3484.413197,4972.273711,5461.834939,5288.232897,6663.156205,7303.539052,5105.901532,5932.029266,7023.575808,6176.397975
Sep7,3433.46609,3685.513685,3256.914203,3721.735983,3847.725062,3769.376007,3489.464647,3930.044683,4034.879854,3487.143455,3525.201479,3808.428249,3792.149168,3795.357316,3849.272256,3865.207097,3622.726055,3891.768016,3838.960498,4117.09208,3719.311845,3476.428012,3647.519562,3451.648885,3487.82031,3955.049402,3723.568028
Sep8,210.8857789,108.2709952,217.8433103,158.5142796,132.4085983,207.5282604,227.8296969,146.1705641,105.0555085,126.2984392,52.18390492,161.8879732,104.5620122,75.83715826,98.55013893,121.3679765,101.5519407,62.80014565,220.315166,159.653127,273.3677038,179.5047238,209.5846141,222.4843427,222.636913,258.3831178,132.0669807
Sep9,2112.477119,2952.90658,2147.36244,2684.31823,2867.424928,2106.423783,1921.330511,3364.788246,3169.391138,2436.323509,2658.89299,2503.724314,3858.488258,3252.357202,2697.168615,3058.799865,3478.139303,3465.889635,2448.529733,3252.830652,2741.215435,3024.581876,3248.662148,2731.845162,3081.29266,3724.600564,3655.720355
Sep10,68.99691728,45.61046584,57.16463531,28.23625793,21.45227875,63.82103057,75.43943678,25.51898424,48.51412677,36.37368029,17.62685273,40.95841551,11.19084445,13.4181698,36.18362389,30.78374823,9.91113994,15.92027112,87.78995684,49.48419829,66.62422773,40.77435075,32.41873743,72.60283607,96.94227269,50.17803257,75.89821231
Sep11,45.98508175,46.18719413,87.0035884,105.916974,63.00830086,71.42508782,63.48711874,67.36783355,62.01700714,27.62960439,63.40615552,48.4150272,93.63811583,66.67486068,34.87977914,25.69753371,58.10526544,34.75361147,46.72060334,42.62429301,47.20124473,71.97280597,90.26294845,50.82607785,38.00219907,67.192579,43.7380198
Sep14,34.25137499,27.87569752,36.39622708,17.9293465,24.22183064,31.52844255,46.39353909,23.06110919,61.45169929,30.23548886,29.82755876,31.29564489,24.045733,24.0217275,37.81353969,42.3453016,43.30140705,37.85749376,28.11756975,26.06825306,33.25877208,20.00163458,38.96006016,29.69921719,32.82631726,26.26666259,34.0044582
Dec1,27.53662788,10.99054512,29.08516443,8.1121948,9.369539011,28.77038471,25.53070659,5.570786579,7.847219744,26.74070833,14.28297045,22.02291451,7.29149487,8.546753861,40.65205636,36.16683227,6.267797391,7.095966607,26.86027352,11.13727346,28.21414448,9.065403147,9.116605368,16.63701161,51.10140274,11.29051779,10.99389498
A1BG,527.0953202,535.9704936,897.5112482,827.5043497,477.9885051,607.1347362,624.962633,514.4523955,582.7214803,1011.980877,566.0024742,695.0928277,444.8625554,525.8348991,630.7614916,621.4367872,490.5506134,757.146284,525.921946,618.3858994,348.3649519,378.4807878,223.7426238,858.9038089,463.5948712,188.8341747,447.3936277
A1CF,17.36248425,8.293415448,3.73238903,1.617236785,2.96429441,4.940293168,3.345665855,1.862745253,2.525639335,9.348495316,3.516746918,6.547955866,2.100192734,6.273857761,8.872515961,6.438562942,2.284158085,2.800750911,2.024149166,1.247437457,3.65943127,6.810358085,2.233974767,2.176465591,6.800006438,6.801588923,6.962797956
A2ML1,2.476531328,2.186362128,3.343285502,2.975285135,3.505562837,2.818133357,3.360248161,1.768650499,1.876291031,2.643664697,2.508446685,3.112761109,2.93409718,3.278386136,1.734033095,2.567176688,3.002881764,1.296698769,2.210539777,1.971242134,2.578909977,1.246561486,1.438847051,1.610387177,2.796079977,3.063933932,3.033210695
AAAS,408.9240411,432.03919,456.8194302,387.3754631,480.0027618,439.2037807,426.362937,454.2007429,448.3016199,375.4963288,480.6753674,348.8281144,454.8288051,420.6226592,391.0887345,314.7588575,445.2321179,469.359601,497.3893595,375.0030069,460.956225,557.8834177,509.6124157,441.3072876,503.4347793,526.2930297,374.2452261
AACS,570.6993551,631.3971345,670.7027635,624.8989006,574.3663059,540.5177026,543.5555491,644.6022053,599.3854494,613.1652933,656.1436528,650.5151609,743.2517466,727.6824649,660.6541361,744.7222761,654.0114608,764.1012723,607.8474711,657.1882089,714.0880072,690.6012521,647.7766586,716.8833044,727.2169621,738.7317597,707.8201656
AAGAB,277.7670727,287.5979895,276.6731902,499.4774936,413.9832137,277.4632765,292.0153597,446.3641015,347.5112236,205.3251959,260.7415299,233.130783,491.4174511,364.0918098,274.219485,261.2488755,255.9964078,405.1803815,381.7488876,513.9584964,312.6404469,529.4278083,472.7345615,319.2557546,333.9667713,531.1155047,470.3715046
AAK1,695.46477,547.629722,785.4072914,475.1502847,495.9153917,720.3791279,645.7752503,533.8948594,517.1605663,661.2467105,432.7157055,648.4601535,537.3083539,454.4774511,714.3388042,753.0772345,504.3545906,463.8351132,743.1047347,708.0077901,761.3222419,561.892097,606.1657625,913.7030177,908.1896528,589.6999412,742.0977846
AAMDC,138.3887815,135.3933006,131.5538976,111.0949164,117.1928852,123.9632025,131.438764,131.5610893,128.2817004,160.8939162,123.2037675,149.3847252,147.2707543,161.5907995,160.0545272,179.8893081,151.673529,178.704485,170.4289545,139.8330224,151.3605842,128.9226908,168.6555296,128.163845,196.9425247,154.118215,128.6202829
AAMP,1551.738723,1584.959148,1723.676233,1904.815774,1855.687216,1692.299928,1649.175073,1828.289064,1707.989563,1762.724181,1565.909549,1709.420559,1850.803311,1777.144742,1753.934062,1757.977757,1649.254524,1747.319938,1614.130023,1502.875212,1809.429117,1979.261825,2172.980756,1748.967289,1947.075163,2035.7139,1691.965217
AAR2,575.740064,564.3862626,575.0722422,635.8315808,623.8128558,607.6461603,651.9855609,635.5198839,582.2965108,624.150358,555.1329484,651.1729566,640.4304748,643.1154978,657.4347081,684.8446523,616.5692481,624.3386211,698.1704602,591.2812358,762.8225429,750.2457925,789.9727394,664.4100219,819.9738637,835.8890293,620.4683713
AARD,9.987808101,20.71619523,15.38059543,19.45696257,31.39185542,5.135035556,14.4707924,10.5918754,4.871044194,11.52300307,15.70407651,7.350820568,8.786119422,13.35723087,11.29677888,8.195827749,24.74868976,13.68798683,17.61549246,9.80932201,10.37854916,30.44858532,18.00658723,22.82910037,10.30143807,12.90093912,8.639458018
AARS,589.3335726,419.5079372,518.5375954,556.4594285,512.0189604,529.2320979,535.5559919,581.7417161,462.6435307,475.2161817,310.8686528,480.284596,383.9994703,395.8434675,458.9570263,454.4241285,323.0814938,386.4829078,555.3225383,351.9934795,514.6091767,530.182196,497.9377117,442.0131118,556.9021566,532.4242059,305.0016456
AARS2,244.7869019,223.9918141,241.5396163,297.2083656,279.6098302,206.1098407,225.5073234,251.7225421,226.5099499,228.5964209,196.1185237,168.8124468,263.8491741,268.4814317,209.8746863,175.6269004,264.5889872,213.9238159,248.4566639,237.7279366,229.0134594,327.1845379,373.172677,274.788324,251.5954324,347.3482306,249.9998816
AARSD1,241.3121851,332.4682484,244.4014263,358.8395279,383.8946446,278.3364242,315.2559682,340.3576755,319.968622,214.9276558,299.3075815,308.1128559,300.8820981,303.1067947,254.4954209,263.2349738,294.9328339,316.643308,263.5529715,277.1193053,252.6831692,332.359623,337.498961,198.9859387,259.2934168,285.7894621,273.6214859
AASDH,460.4880452,356.3836841,303.9152242,380.4300029,374.4567963,423.9956947,413.2749617,331.7910598,326.3953053,448.8710967,386.957639,491.4184143,466.2294854,485.7670612,482.5215378,418.2208975,496.0305573,490.4626292,563.0524667,523.979377,814.9092637,562.1467287,544.6513368,613.2006923,657.2516065,496.0563499,574.6437249
AASDHPPT,618.4071827,583.2066096,535.1381298,674.9461402,688.9787501,676.1279214,635.6504589,635.9022029,613.875349,534.2754464,586.5320171,615.4034053,637.5738798,601.4013758,544.1214441,612.3494903,637.7199411,623.9464763,751.9124688,585.2635641,700.3300019,705.6751074,649.769671,699.4985533,600.4173629,685.4366269,616.4406158
AASS,75.24760414,82.52771926,73.45034889,68.406503,52.75459927,56.46205095,49.05400969,69.48696668,116.2291637,62.15093262,58.6576279,71.53229974,43.3696442,41.25565091,40.33325299,42.46501274,40.38337384,61.20530914,85.99655163,187.1858037,93.70184421,76.08473156,80.3778464,73.09295942,75.03281318,98.59669903,135.5296524
AATF,371.97482,377.4020719,349.279123,489.9671191,456.2151079,390.4001364,370.5641478,476.4761416,427.2568782,372.9893286,383.8886738,377.4671761,482.1524099,439.0535097,392.1383787,403.448207,436.7583915,435.2025887,409.4498822,406.7748043,422.7700038,497.2904205,495.9720362,406.6140622,438.2634865,508.971553,418.6686613
AATK,2.698723219,4.480691141,2.986815031,3.583670654,2.866655685,3.182427279,2.221206769,6.254397962,2.02556099,2.023548246,4.277007836,4.61048967,1.342057913,3.672912716,3.049305239,2.061789736,3.019247533,5.793159623,5.174999765,5.658677752,4.807531204,3.646878751,2.944057597,7.001417913,9.303941207,5.229447296,12.11566698
ABAT,81.75000098,62.58547242,94.95087164,41.15428716,61.81410537,76.78825866,82.96593375,46.10462954,48.17364454,85.17044728,60.2902144,49.10440753,44.53575296,58.21942375,69.70847324,66.45390337,52.49079958,52.51315866,72.53334532,59.22575908,66.92019934,50.31357231,41.90403445,71.5568692,76.29205931,36.27148646,51.09596069
ABCA10,72.36478551,46.24473258,49.97329315,44.26854913,94.8991303,65.38914323,47.5924503,21.32493637,52.73441419,74.60736924,66.87134462,68.92091341,61.79719392,90.33437892,82.36381622,50.07773308,79.12250707,62.29718684,46.55227044,51.83401818,40.18181373,42.11063064,43.7530189,71.70521091,27.52601295,26.96937483,35.30819699
ABCA11P,30.45994847,15.52955511,24.47141011,29.41573611,27.72371188,13.57654217,17.9368593,27.80759895,13.41823807,31.39893049,16.08490656,20.88164006,18.98535738,43.42022354,18.05102703,10.06307495,15.55035175,18.06375495,28.29035324,9.246757177,30.03745102,65.05236938,44.6142831,37.03803142,19.32680007,27.92523168,12.78846828
ABCA13,23.13413262,33.69437216,23.53061678,19.04170099,14.20990283,21.1286218,22.44609556,11.45752343,28.93381537,11.53398345,13.54457009,20.52178122,16.98721651,10.85002515,19.74720118,14.14899196,11.80232817,11.46393568,16.81663673,10.78632412,18.29481943,5.879877235,15.15254368,16.53780807,17.17524798,14.8900449,17.42438664
